dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,atelectasis,0.09974151104688644,0.10312861949205399,0.8306444424636776,0.16520210896309315,0.5360332775904937
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,cardiomegaly,0.021392280235886574,0.02335323952138424,0.9575719761119529,0.05179282868525897,0.5157435027476699
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,effusion,0.11516177654266357,0.10687226802110672,0.8243158926820572,0.20875150541951024,0.5533239396822813
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,infiltration,0.17987342178821564,0.1649879664182663,0.734111774667974,0.22899974153528044,0.5332487182793183
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,mass,0.05570906400680542,0.04608253762125969,0.9073001158748552,0.0893169877408056,0.5188064187275816
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,nodule,0.05463945120573044,0.05107406899333,0.8999910865496034,0.05396290050590219,0.5005967104710652
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,pneumonia,0.011854888871312141,0.012924503535032272,0.975577145913183,0.014388489208633094,0.5010692209506267
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,pneumothorax,0.04492378979921341,0.041180141270160675,0.9196006774222302,0.06625258799171843,0.5116807027679636
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,consolidation,0.0398431234061718,0.03877351060509682,0.9276227827792138,0.07936507936507936,0.5205832338542796
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,edema,0.017826899886131287,0.01996612921357155,0.9654158124610036,0.08490566037735849,0.5356525093021145
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,emphysema,0.018539976328611374,0.01996612921357155,0.962741777342009,0.032407407407407406,0.5069731404958678
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,fibrosis,0.01479632779955864,0.013637579046189785,0.97210090025849,0.018808777429467086,0.5022506564755358
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,pleural,0.03315803408622742,0.025225063785910606,0.9453605490685444,0.06412213740458016,0.5161487344501379
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.01,1,hernia,0.0036545146722346544,0.0011587485205382109,0.9953650057937428,0.037037037037037035,0.5116583532985088
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,atelectasis,0.09974151104688644,0.10312861949205399,0.8306444424636776,0.16520210896309315,0.5360332775904937
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,cardiomegaly,0.021392280235886574,0.02335323952138424,0.9575719761119529,0.05179282868525897,0.5157435027476699
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,effusion,0.11516177654266357,0.10687226802110672,0.8243158926820572,0.20875150541951024,0.5533239396822813
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,infiltration,0.17987342178821564,0.1649879664182663,0.734111774667974,0.22899974153528044,0.5332487182793183
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,mass,0.05570906400680542,0.04608253762125969,0.9073001158748552,0.0893169877408056,0.5188064187275816
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,nodule,0.05463945120573044,0.05107406899333,0.8999910865496034,0.05396290050590219,0.5005967104710652
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,pneumonia,0.011854888871312141,0.012924503535032272,0.975577145913183,0.014388489208633094,0.5010692209506267
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,pneumothorax,0.04492378979921341,0.041180141270160675,0.9196006774222302,0.06625258799171843,0.5116807027679636
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,consolidation,0.0398431234061718,0.03877351060509682,0.9276227827792138,0.07936507936507936,0.5205832338542796
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,edema,0.017826899886131287,0.01996612921357155,0.9654158124610036,0.08490566037735849,0.5356525093021145
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,emphysema,0.018539976328611374,0.01996612921357155,0.962741777342009,0.032407407407407406,0.5069731404958678
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,fibrosis,0.01479632779955864,0.013637579046189785,0.97210090025849,0.018808777429467086,0.5022506564755358
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,pleural,0.03315803408622742,0.025225063785910606,0.9453605490685444,0.06412213740458016,0.5161487344501379
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.03,1,hernia,0.0036545146722346544,0.0011587485205382109,0.9953650057937428,0.037037037037037035,0.5116583532985088
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,atelectasis,0.09974151104688644,0.10312861949205399,0.8306444424636776,0.16520210896309315,0.5360332775904937
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,cardiomegaly,0.021392280235886574,0.02335323952138424,0.9575719761119529,0.05179282868525897,0.5157435027476699
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,effusion,0.11516177654266357,0.10687226802110672,0.8243158926820572,0.20875150541951024,0.5533239396822813
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,infiltration,0.17987342178821564,0.1649879664182663,0.734111774667974,0.22899974153528044,0.5332487182793183
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,mass,0.05570906400680542,0.04608253762125969,0.9073001158748552,0.0893169877408056,0.5188064187275816
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,nodule,0.05463945120573044,0.05107406899333,0.8999910865496034,0.05396290050590219,0.5005967104710652
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,pneumonia,0.011854888871312141,0.012924503535032272,0.975577145913183,0.014388489208633094,0.5010692209506267
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,pneumothorax,0.04492378979921341,0.041180141270160675,0.9196006774222302,0.06625258799171843,0.5116807027679636
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,consolidation,0.0398431234061718,0.03877351060509682,0.9276227827792138,0.07936507936507936,0.5205832338542796
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,edema,0.017826899886131287,0.01996612921357155,0.9654158124610036,0.08490566037735849,0.5356525093021145
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,emphysema,0.018539976328611374,0.01996612921357155,0.962741777342009,0.032407407407407406,0.5069731404958678
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,fibrosis,0.01479632779955864,0.013637579046189785,0.97210090025849,0.018808777429467086,0.5022506564755358
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,pleural,0.03315803408622742,0.025225063785910606,0.9453605490685444,0.06412213740458016,0.5161487344501379
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.05,1,hernia,0.0036545146722346544,0.0011587485205382109,0.9953650057937428,0.037037037037037035,0.5116583532985088
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,atelectasis,0.09974151104688644,0.10312861949205399,0.8306444424636776,0.16520210896309315,0.5360332775904937
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,cardiomegaly,0.021392280235886574,0.02335323952138424,0.9575719761119529,0.05179282868525897,0.5157435027476699
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,effusion,0.11516177654266357,0.10687226802110672,0.8243158926820572,0.20875150541951024,0.5533239396822813
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,infiltration,0.17987342178821564,0.1649879664182663,0.734111774667974,0.22899974153528044,0.5332487182793183
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,mass,0.05570906400680542,0.04608253762125969,0.9073001158748552,0.0893169877408056,0.5188064187275816
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,nodule,0.05463945120573044,0.05107406899333,0.8999910865496034,0.05396290050590219,0.5005967104710652
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,pneumonia,0.011854888871312141,0.012924503535032272,0.975577145913183,0.014388489208633094,0.5010692209506267
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,pneumothorax,0.04492378979921341,0.041180141270160675,0.9196006774222302,0.06625258799171843,0.5116807027679636
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,consolidation,0.0398431234061718,0.03877351060509682,0.9276227827792138,0.07936507936507936,0.5205832338542796
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,edema,0.017826899886131287,0.01996612921357155,0.9654158124610036,0.08490566037735849,0.5356525093021145
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,emphysema,0.018539976328611374,0.01996612921357155,0.962741777342009,0.032407407407407406,0.5069731404958678
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,fibrosis,0.01479632779955864,0.013637579046189785,0.97210090025849,0.018808777429467086,0.5022506564755358
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,pleural,0.03315803408622742,0.025225063785910606,0.9453605490685444,0.06412213740458016,0.5161487344501379
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.1,1,hernia,0.0036545146722346544,0.0011587485205382109,0.9953650057937428,0.037037037037037035,0.5116583532985088
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,atelectasis,0.09974151104688644,0.10312861949205399,0.8306444424636776,0.16520210896309315,0.5360332775904937
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,cardiomegaly,0.021392280235886574,0.02335323952138424,0.9575719761119529,0.05179282868525897,0.5157435027476699
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,effusion,0.11516177654266357,0.10687226802110672,0.8243158926820572,0.20875150541951024,0.5533239396822813
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,infiltration,0.17987342178821564,0.1649879664182663,0.734111774667974,0.22899974153528044,0.5332487182793183
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,mass,0.05570906400680542,0.04608253762125969,0.9073001158748552,0.0893169877408056,0.5188064187275816
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,nodule,0.05463945120573044,0.05107406899333,0.8999910865496034,0.05396290050590219,0.5005967104710652
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,pneumonia,0.011854888871312141,0.012924503535032272,0.975577145913183,0.014388489208633094,0.5010692209506267
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,pneumothorax,0.04492378979921341,0.041180141270160675,0.9196006774222302,0.06625258799171843,0.5116807027679636
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,consolidation,0.0398431234061718,0.03877351060509682,0.9276227827792138,0.07936507936507936,0.5205832338542796
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,edema,0.017826899886131287,0.01996612921357155,0.9654158124610036,0.08490566037735849,0.5356525093021145
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,emphysema,0.018539976328611374,0.01996612921357155,0.962741777342009,0.032407407407407406,0.5069731404958678
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,full,full,78468,1,0.15,1,fibrosis,0.01479632779955864,0.013637579046189785,0.97210090025849,0.018808777429467086,0.5022506564755358
