dataset_name,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.05,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,dinov2_small_224,facebook/dinov2-small,224,2-img,2,1,0.05,1,10,1.5,0.5016538597391527,0.0052675357583808775,0.01798333737941029,0.019780796270214573,0.07259159368276219,0.08259050410778516,0.9141793895559829,0.33085836527319723
chestmnist,dinov2_small_224,facebook/dinov2-small,224,5-img,5,3,0.05,1,10,3.1,0.5024375519276217,0.0041947819100148186,0.03372151814609253,0.019001348968818874,0.1323757323209268,0.06720889560067277,0.8397463486687127,0.10825385506729654
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,10,5,0.05,1,10,4.9,0.5076142885526916,0.004874738151924865,0.046538782772243194,0.017385877990685222,0.13285187538919113,0.042684193842241494,0.7973858123336687,0.061101702469025757
chestmnist,dinov2_small_224,facebook/dinov2-small,224,20-img,20,5,0.05,1,10,7.6,0.5143645540640576,0.012242219386405448,0.06483601443434209,0.015608481838073986,0.1444387571916384,0.028446234007606683,0.8012224160543976,0.0865406899010607
chestmnist,dinov2_small_224,facebook/dinov2-small,224,25-img,25,5,0.05,1,10,8.2,0.5151342024480631,0.011404324527094035,0.06822567076799846,0.012799685855032737,0.14867038940226546,0.023799489755202952,0.8113137152534604,0.07954363133969158
chestmnist,dinov2_small_224,facebook/dinov2-small,224,50-img,50,10,0.05,1,10,11.1,0.5226380737479024,0.012347948834087616,0.08766681298675512,0.008506884489698878,0.14585509466696495,0.00804226213025094,0.6680013497510601,0.01881629378732507
chestmnist,dinov2_small_224,facebook/dinov2-small,224,100-img,100,20,0.05,1,10,12.7,0.5362355182231845,0.010263190279587692,0.09607435985092398,0.0034479592975867838,0.14033472251551593,0.008144302454796276,0.5318382081418003,0.0004634994206257242
chestmnist,dinov2_small_224,facebook/dinov2-small,224,500-img,500,50,0.05,3,10,13.6,0.5780563071528562,0.011634480385562062,0.10344700921253831,0.0037764649589489864,0.1825099843041886,0.004684409297440489,0.6891860746437803,0.0030929672876370442
chestmnist,dinov2_small_224,facebook/dinov2-small,224,1000-img,1000,50,0.05,3,10,13.8,0.5908108738624851,0.006142999494273602,0.10855314225178694,0.0039719177393725096,0.1838452131467182,0.00483869110426392,0.6879420116384195,0.00391300472412871
chestmnist,dinov2_small_224,facebook/dinov2-small,224,5000-img,5000,100,0.05,5,10,14.0,0.624236493466033,0.004349818722140245,0.11612050876871809,0.0031847875514094803,0.2044357954338492,0.00284138919841152,0.7299593801331923,0.00923433461092789
chestmnist,dinov2_small_224,facebook/dinov2-small,224,full,78468,2000,0.05,100,1,14.0,0.689121116710404,,0.11998700728853477,,0.2042713481010471,,0.7067984159525295,0.003297976646759961
