dataset_name,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,0,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,1,1,1,0.05,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,2,1,1,0.05,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,3,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,4,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,5,1,1,0.05,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,6,1,1,0.05,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,7,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,8,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,9,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,0,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,1,2,1,0.05,1,0.5,3,0.5034265415935272,0.8862643729387647,0.07005972011765754,0.04613639659911511,0.1989237668161435
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,2,2,1,0.05,1,0.5,2,0.5017105309726684,0.893267798250417,0.07647740440324449,0.03323555297405352,0.21369606003752345
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,3,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,4,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,5,2,1,0.05,1,0.5,3,0.5092525803310423,0.8764723110030178,0.014172386130671183,0.04002072379356703,0.12964292122734614
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,6,2,1,0.05,1,0.5,4,0.5073652096868494,0.8332611768301224,0.007309029325251805,0.045457733665578384,0.1497906048112197
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,7,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,8,2,1,0.05,1,0.5,3,0.5048019799943713,0.9309907936790903,0.4984401461805865,0.02134399012789785,0.048793330408073717
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,9,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,0,5,3,0.05,1,0.6,1,0.502487671970478,0.9216953382654427,0.27212764060968003,0.021819092488534805,0.18479485649897262
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,1,5,3,0.05,1,0.6,4,0.5062804327339311,0.796372225688564,0.012300561547374989,0.05858455400168394,0.20671180891435376
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,2,5,3,0.05,1,0.6,2,0.5034044223670865,0.8599951612697848,0.027809965237543453,0.034909556546764406,0.20813827871804105
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,3,5,3,0.05,1,0.6,3,0.5134304024036455,0.867749863114869,0.18121044656386487,0.04879474972971203,0.210790273556231
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,4,5,3,0.05,1,0.6,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,5,5,3,0.05,1,0.6,5,0.5048996376760188,0.6983179045751468,0.0019609590872626793,0.046102801281769405,0.11814188937690762
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,6,5,3,0.05,1,0.6,5,0.5083563692620063,0.7581844574892084,0.0032088421427934753,0.05234277936306151,0.14880885681629727
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,7,5,3,0.05,1,0.6,1,0.499566994063284,0.9014745393656172,0.1259470541046439,0.007163460014580494,0.05519262470236278
