dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,1-img,1,1,0.01,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,1-img,1,1,0.03,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,1-img,1,1,0.05,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,1-img,1,1,0.1,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,1-img,1,1,0.15,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,1-img,1,1,0.2,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,1-img,1,1,0.3,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,1-img,1,1,0.5,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,2-img,2,1,0.01,1,10,1.5,0.5022916873026961,0.0032076891895742245,0.01718491803704018,0.020203476783872038,0.06834822929967846,0.08746160622688832,0.9140144907236449,0.33524378286834833
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,2-img,2,1,0.03,1,10,1.5,0.5022916873026961,0.0032076891895742245,0.01718491803704018,0.020203476783872038,0.06834822929967846,0.08746160622688832,0.9140144907236449,0.33524378286834833
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,2-img,2,1,0.05,1,10,1.5,0.5022916873026961,0.0032076891895742245,0.01718491803704018,0.020203476783872038,0.06834822929967846,0.08746160622688832,0.9140144907236449,0.33524378286834833
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,2-img,2,1,0.1,1,10,1.5,0.5022916873026961,0.0032076891895742245,0.01718491803704018,0.020203476783872038,0.06834822929967846,0.08746160622688832,0.9140144907236449,0.33524378286834833
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,2-img,2,1,0.15,1,10,1.5,0.5022916873026961,0.0032076891895742245,0.01718491803704018,0.020203476783872038,0.06834822929967846,0.08746160622688832,0.9140144907236449,0.33524378286834833
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,2-img,2,1,0.2,1,10,1.5,0.5022916873026961,0.0032076891895742245,0.01718491803704018,0.020203476783872038,0.06834822929967846,0.08746160622688832,0.9140144907236449,0.33524378286834833
chestmnist,frozen_feature_knn,dinov2_large_224,facebook/dinov2-large,224,2-img,2,1,0.3,1,10,1.5,0.5022916873026961,0.0032076891895742245,0.01718491803704018,0.020203476783872038,0.06834822929967846,0.08746160622688832,0.9140144907236449,0.33524378286834833
