dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,atelectasis,0.09974151104688644,0.09697834402322769,0.8339424191104376,0.1558676937018577,0.5315077995735231
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,cardiomegaly,0.021392280235886574,0.02112487703561783,0.9587307246635173,0.029350104821802937,0.5041087910252907
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,effusion,0.11516177654266357,0.09813708811998367,0.8301987699438452,0.20392812369410782,0.5512621393135836
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,infiltration,0.17987342178821564,0.16712719202041626,0.7348248506997058,0.23580786026200873,0.5367783040344755
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,mass,0.05570906400680542,0.04340850189328194,0.9078349228986541,0.07014388489208633,0.5100559562016236
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,nodule,0.05463945120573044,0.057135216891765594,0.8955343613512791,0.06539074960127592,0.505156212172063
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,pneumonia,0.011854888871312141,0.012033157981932163,0.9766467599607808,0.022388059701492536,0.505324740680856
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,pneumothorax,0.04492378979921341,0.03654514625668526,0.9242356716284874,0.0700218818380744,0.514107207667637
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,consolidation,0.0398431234061718,0.033871110528707504,0.9321686424815046,0.07980652962515115,0.520806179082234
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,edema,0.017826899886131287,0.020233532413840294,0.9647918709332383,0.07494145199063232,0.5304256284599329
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,emphysema,0.018539976328611374,0.020679205656051636,0.9623852393261432,0.04090909090909091,0.5115083779856507
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,fibrosis,0.01479632779955864,0.014083251357078552,0.9716552277386576,0.018518518518518517,0.5020244735387766
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,pleural,0.03315803408622742,0.023085836321115494,0.9464301631161423,0.04754358161648178,0.5089139408250237
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.01,1,hernia,0.0036545146722346544,0.0016935556195676327,0.9946519297620109,0.0,0.49915011629987477
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,atelectasis,0.09974151104688644,0.09697834402322769,0.8339424191104376,0.1558676937018577,0.5315077995735231
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,cardiomegaly,0.021392280235886574,0.02112487703561783,0.9587307246635173,0.029350104821802937,0.5041087910252907
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,effusion,0.11516177654266357,0.09813708811998367,0.8301987699438452,0.20392812369410782,0.5512621393135836
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,infiltration,0.17987342178821564,0.16712719202041626,0.7348248506997058,0.23580786026200873,0.5367783040344755
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,mass,0.05570906400680542,0.04340850189328194,0.9078349228986541,0.07014388489208633,0.5100559562016236
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,nodule,0.05463945120573044,0.057135216891765594,0.8955343613512791,0.06539074960127592,0.505156212172063
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,pneumonia,0.011854888871312141,0.012033157981932163,0.9766467599607808,0.022388059701492536,0.505324740680856
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,pneumothorax,0.04492378979921341,0.03654514625668526,0.9242356716284874,0.0700218818380744,0.514107207667637
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,consolidation,0.0398431234061718,0.033871110528707504,0.9321686424815046,0.07980652962515115,0.520806179082234
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,edema,0.017826899886131287,0.020233532413840294,0.9647918709332383,0.07494145199063232,0.5304256284599329
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,emphysema,0.018539976328611374,0.020679205656051636,0.9623852393261432,0.04090909090909091,0.5115083779856507
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,fibrosis,0.01479632779955864,0.014083251357078552,0.9716552277386576,0.018518518518518517,0.5020244735387766
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,pleural,0.03315803408622742,0.023085836321115494,0.9464301631161423,0.04754358161648178,0.5089139408250237
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.03,1,hernia,0.0036545146722346544,0.0016935556195676327,0.9946519297620109,0.0,0.49915011629987477
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,atelectasis,0.09974151104688644,0.09697834402322769,0.8339424191104376,0.1558676937018577,0.5315077995735231
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,cardiomegaly,0.021392280235886574,0.02112487703561783,0.9587307246635173,0.029350104821802937,0.5041087910252907
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,effusion,0.11516177654266357,0.09813708811998367,0.8301987699438452,0.20392812369410782,0.5512621393135836
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,infiltration,0.17987342178821564,0.16712719202041626,0.7348248506997058,0.23580786026200873,0.5367783040344755
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,mass,0.05570906400680542,0.04340850189328194,0.9078349228986541,0.07014388489208633,0.5100559562016236
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,nodule,0.05463945120573044,0.057135216891765594,0.8955343613512791,0.06539074960127592,0.505156212172063
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,pneumonia,0.011854888871312141,0.012033157981932163,0.9766467599607808,0.022388059701492536,0.505324740680856
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,pneumothorax,0.04492378979921341,0.03654514625668526,0.9242356716284874,0.0700218818380744,0.514107207667637
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,consolidation,0.0398431234061718,0.033871110528707504,0.9321686424815046,0.07980652962515115,0.520806179082234
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,edema,0.017826899886131287,0.020233532413840294,0.9647918709332383,0.07494145199063232,0.5304256284599329
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,emphysema,0.018539976328611374,0.020679205656051636,0.9623852393261432,0.04090909090909091,0.5115083779856507
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,fibrosis,0.01479632779955864,0.014083251357078552,0.9716552277386576,0.018518518518518517,0.5020244735387766
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,pleural,0.03315803408622742,0.023085836321115494,0.9464301631161423,0.04754358161648178,0.5089139408250237
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.05,1,hernia,0.0036545146722346544,0.0016935556195676327,0.9946519297620109,0.0,0.49915011629987477
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.1,1,atelectasis,0.09974151104688644,0.09697834402322769,0.8339424191104376,0.1558676937018577,0.5315077995735231
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.1,1,cardiomegaly,0.021392280235886574,0.02112487703561783,0.9587307246635173,0.029350104821802937,0.5041087910252907
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.1,1,effusion,0.11516177654266357,0.09813708811998367,0.8301987699438452,0.20392812369410782,0.5512621393135836
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.1,1,infiltration,0.17987342178821564,0.16712719202041626,0.7348248506997058,0.23580786026200873,0.5367783040344755
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.1,1,mass,0.05570906400680542,0.04340850189328194,0.9078349228986541,0.07014388489208633,0.5100559562016236
chestmnist,frozen_feature_knn,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,full,78468,1,0.1,1,nodule,0.05463945120573044,0.057135216891765594,0.8955343613512791,0.06539074960127592,0.505156212172063
