dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.01,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.03,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.05,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.1,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.15,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.2,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.3,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.5,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.01,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.03,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.05,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.1,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.15,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.2,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.3,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.5,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,1,0.01,1,10,3.1,0.5033823351585079,0.006430221556045983,0.02549564028794595,0.017830226527802993,0.08905074148231897,0.06791537948321719,0.9131931799370966,0.33512790801319187
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,1,0.03,1,10,3.1,0.5033823351585079,0.006430221556045983,0.02549564028794595,0.017830226527802993,0.08905074148231897,0.06791537948321719,0.9131931799370966,0.33512790801319187
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,1,0.05,1,10,3.1,0.5033823351585079,0.006430221556045983,0.02549564028794595,0.017830226527802993,0.08905074148231897,0.06791537948321719,0.9131931799370966,0.33512790801319187
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,1,0.1,1,10,3.1,0.5033823351585079,0.006430221556045983,0.02549564028794595,0.017830226527802993,0.08905074148231897,0.06791537948321719,0.9131931799370966,0.33512790801319187
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,1,0.15,1,10,3.1,0.5033823351585079,0.006430221556045983,0.02549564028794595,0.017830226527802993,0.08905074148231897,0.06791537948321719,0.9131931799370966,0.33512790801319187
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,1,0.2,1,10,3.1,0.5033823351585079,0.006430221556045983,0.02549564028794595,0.017830226527802993,0.08905074148231897,0.06791537948321719,0.9131931799370966,0.33512790801319187
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,1,0.3,1,10,3.1,0.5033823351585079,0.006430221556045983,0.02549564028794595,0.017830226527802993,0.08905074148231897,0.06791537948321719,0.9131931799370966,0.33512790801319187
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,1,0.5,1,10,3.1,0.5033823351585079,0.006430221556045983,0.02549564028794595,0.017830226527802993,0.08905074148231897,0.06791537948321719,0.9131931799370966,0.33512790801319187
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.01,1,10,3.1,0.505504972254642,0.00496865170407152,0.03591034754308254,0.020210955849766277,0.13552876999838628,0.0724368103974006,0.8421708071766011,0.11615117211872714
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.03,1,10,3.1,0.505504972254642,0.00496865170407152,0.03591034754308254,0.020210955849766277,0.13552876999838628,0.0724368103974006,0.8421708071766011,0.11615117211872714
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.05,1,10,3.1,0.505504972254642,0.00496865170407152,0.03591034754308254,0.020210955849766277,0.13552876999838628,0.0724368103974006,0.8421708071766011,0.11615117211872714
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.1,1,10,3.1,0.505504972254642,0.00496865170407152,0.03591034754308254,0.020210955849766277,0.13552876999838628,0.0724368103974006,0.8421708071766011,0.11615117211872714
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.15,1,10,3.1,0.505504972254642,0.00496865170407152,0.03591034754308254,0.020210955849766277,0.13552876999838628,0.0724368103974006,0.8421708071766011,0.11615117211872714
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.2,1,10,3.1,0.505504972254642,0.00496865170407152,0.03591034754308254,0.020210955849766277,0.13552876999838628,0.0724368103974006,0.8421708071766011,0.11615117211872714
