dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,atelectasis,0.09974151104688644,0.09287815541028976,0.8421427934753543,0.18047200370198982,0.5452006742229183
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,cardiomegaly,0.021392280235886574,0.020679205656051636,0.9623852393261432,0.1059322033898305,0.542656245256095
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,effusion,0.11516177654266357,0.11498350650072098,0.8372403957571977,0.2927962819519752,0.6003495018277388
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,infiltration,0.17987342178821564,0.15589624643325806,0.7380336928424993,0.21980355720732678,0.5300303463804565
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,mass,0.05570906400680542,0.048667438328266144,0.9089936714502184,0.12809564474807855,0.5377704360959035
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,nodule,0.05463945120573044,0.053658969700336456,0.8979409929583742,0.05761316872427984,0.5018179712366942
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,pneumonia,0.011854888871312141,0.011409216560423374,0.9776272395044121,0.038314176245210725,0.5132494550466009
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,pneumothorax,0.04492378979921341,0.03734735772013664,0.9264640342276496,0.10617551462621885,0.53134559547882
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,consolidation,0.0398431234061718,0.0398431234061718,0.9260183617078172,0.07158836689038031,0.5165312796204593
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,1,0.01,1,edema,0.017826899886131287,0.021481415256857872,0.9640787949015064,0.08616780045351474,0.5374264906071331
