dataset_name,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,rad_dino_518,microsoft/rad-dino,518,1-img,1,1,0.05,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,rad_dino_518,microsoft/rad-dino,518,2-img,2,1,0.05,1,10,1.5,0.5034314806675837,0.0054571767355783415,0.017735888199416055,0.020275664132336856,0.06991293980453753,0.0824636587650542,0.9158691250811761,0.33420982262233706
chestmnist,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.05,1,10,3.1,0.505504972254642,0.00496865170407152,0.03591034754308254,0.020210955849766277,0.13552876999838628,0.0724368103974006,0.8421708071766011,0.11615117211872714
chestmnist,rad_dino_518,microsoft/rad-dino,518,10-img,10,5,0.05,1,10,4.9,0.5159156398115827,0.008771028317629626,0.051854409371259534,0.02017269774768985,0.14388403146098686,0.04686577628862426,0.7944940343549846,0.06899010607005972
chestmnist,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.05,1,10,7.6,0.5300475555442625,0.016464332569002833,0.07652901430748854,0.014654595238111377,0.1638981225085479,0.039437443982650706,0.8097786917601517,0.09294054728585435
chestmnist,rad_dino_518,microsoft/rad-dino,518,25-img,25,5,0.05,1,10,8.2,0.53228526071708,0.017559620002635782,0.08051995981451257,0.014448277680394488,0.16691578744464727,0.03210836956585476,0.8197738530299364,0.10173812282734647
chestmnist,rad_dino_518,microsoft/rad-dino,518,50-img,50,10,0.05,1,10,11.1,0.5503375996765121,0.021759511436087356,0.09793489657109022,0.009778482199457598,0.15974893158420433,0.010383639376223951,0.6932264143735755,0.016953382654425527
chestmnist,rad_dino_518,microsoft/rad-dino,518,100-img,100,20,0.05,1,10,12.7,0.5806085021321232,0.014679972692640044,0.10577448670395999,0.004699414171807035,0.14901398388791942,0.010497072683694889,0.5430462353405574,0.0015865941706034406
chestmnist,rad_dino_518,microsoft/rad-dino,518,500-img,500,50,0.05,3,10,13.6,0.6475099096252026,0.011423652371558525,0.12844524664376641,0.004902274693801798,0.2013522191560695,0.006453145053778292,0.7063183629811671,0.00905606560299492
chestmnist,rad_dino_518,microsoft/rad-dino,518,1000-img,1000,50,0.05,3,10,13.8,0.6592831298358323,0.005228345169592154,0.13399244185409837,0.004989070692113467,0.20538000975739296,0.006079638518833227,0.7089039002712235,0.012585791960067741
chestmnist,rad_dino_518,microsoft/rad-dino,518,5000-img,5000,100,0.05,5,10,14.0,0.7017354109709579,0.00498405983245679,0.15266286687152392,0.002746193470452906,0.2306097581515532,0.00229811424981339,0.7483707486024983,0.024743738301096354
chestmnist,rad_dino_518,microsoft/rad-dino,518,full,78468,2000,0.05,100,1,14.0,0.759266272327997,,0.15654990808595245,,0.2321959559916741,,0.7369640787949016,0.018272573313129512
