dataset_name,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,0,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,1,0.05,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,2,1,1,0.05,1,1.0,1,0.5,0.9034736989545797,0.088688831446653,0.02177878025879839,0.21024118351825807
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,3,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,4,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,5,1,1,0.05,1,1.0,1,0.5,0.8825143570218889,0.010785274979944737,0.004584837990066184,0.03875605563369276
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,6,1,1,0.05,1,1.0,3,0.5,0.7787617944048998,0.0002674035118994563,0.038205226023473024,0.1653896961690885
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,7,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,8,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,9,1,1,0.05,1,1.0,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,0,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,1,2,1,0.05,1,0.5,3,0.5058792428164737,0.8581297034367719,0.039486585257153047,0.04794729619956058,0.18529487038865125
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,2,1,0.05,1,0.5,2,0.4997493057425237,0.9028179236753978,0.08761921739905518,0.022243356333130564,0.20944686140459912
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,3,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,4,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,5,2,1,0.05,1,0.5,3,0.5085917116917269,0.8789680771140793,0.014083251626704697,0.03269721554799636,0.09476190476190476
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,6,2,1,0.05,1,0.5,4,0.5102620644908099,0.848337641501025,0.009893929940279883,0.04581026028156913,0.13913483430306098
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,7,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,8,2,1,0.05,1,0.5,3,0.5026830402663229,0.9404454178498212,0.5276762634815937,0.015538112801987605,0.02663891779396462
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,9,2,1,0.05,1,0.5,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,0,5,3,0.05,1,0.6,1,0.4993638598584451,0.9410693593775866,0.4600231749710313,0.011400888759379325,0.06334750050597045
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,1,5,3,0.05,1,0.6,4,0.5086977321600658,0.7484114958043115,0.0021392280951956504,0.0578232823797414,0.19702511582540844
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,2,5,3,0.05,1,0.6,2,0.4981414490033392,0.85248876268575,0.01853997682502897,0.033881919084203384,0.20131683270709091
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,3,5,3,0.05,1,0.6,3,0.5077360585417205,0.9105535252696321,0.25028968713789107,0.04189251245793652,0.20532835567622604
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,4,5,3,0.05,1,0.6,0,0.5,0.94920606623967,0.5418486496122649,0.0,0.0
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,5,5,3,0.05,1,0.6,5,0.5088245799178691,0.7285790686717685,0.0013370175594972814,0.04137911912651706,0.10025115552647686
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,6,5,3,0.05,1,0.6,5,0.5034243934806517,0.8578622999248725,0.012567965059274445,0.04916299963744499,0.10910251805738458
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,7,5,3,0.05,1,0.6,1,0.5003940972015463,0.9248341461551196,0.30742490418040824,0.007019579405366208,0.03938161106590724
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5-img,8,5,3,0.05,1,0.6,5,0.5045319835946303,0.8696216876981652,0.030127462340672075,0.04610591489776206,0.1428212641272499
