dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,0.01,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,0.03,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,0.05,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,0.1,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,0.15,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,0.2,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,0.3,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1-img,1,1,0.5,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,1,0.01,1,10,1.5,0.5027165365007857,0.004043634511767121,0.016423624116424423,0.01973568855241008,0.06552773886521808,0.08453223171507517,0.9174729094775446,0.3388002495766111
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,1,0.03,1,10,1.5,0.5027165365007857,0.004043634511767121,0.016423624116424423,0.01973568855241008,0.06552773886521808,0.08453223171507517,0.9174729094775446,0.3388002495766111
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,1,0.05,1,10,1.5,0.5027165365007857,0.004043634511767121,0.016423624116424423,0.01973568855241008,0.06552773886521808,0.08453223171507517,0.9174729094775446,0.3388002495766111
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,1,0.1,1,10,1.5,0.5027165365007857,0.004043634511767121,0.016423624116424423,0.01973568855241008,0.06552773886521808,0.08453223171507517,0.9174729094775446,0.3388002495766111
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,1,0.15,1,10,1.5,0.5027165365007857,0.004043634511767121,0.016423624116424423,0.01973568855241008,0.06552773886521808,0.08453223171507517,0.9174729094775446,0.3388002495766111
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,1,0.2,1,10,1.5,0.5027165365007857,0.004043634511767121,0.016423624116424423,0.01973568855241008,0.06552773886521808,0.08453223171507517,0.9174729094775446,0.3388002495766111
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,1,0.3,1,10,1.5,0.5027165365007857,0.004043634511767121,0.016423624116424423,0.01973568855241008,0.06552773886521808,0.08453223171507517,0.9174729094775446,0.3388002495766111
chestmnist,frozen_feature_knn,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,2-img,2,1,0.5,1,10,1.5,0.5027165365007857,0.004043634511767121,0.016423624116424423,0.01973568855241008,0.06552773886521808,0.08453223171507517,0.9174729094775446,0.3388002495766111
